# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=11240.000000 (1/cm) = 1.3935823787 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 1.389685e+02
  0   2 1.132580e+01
  0   4 3.441080e+00
  0   6 2.738363e+00
  0   8 2.119827e+00
  0  10 1.644117e+00
  0  12 1.781423e+00
  0  14 1.477750e+00
  0  16 1.174830e+00
  0  18 1.480103e+00
  0  20 1.336323e+00
  0  22 1.024756e+00
  0  24 1.201640e+00
  0  26 1.115890e+00
  0  28 9.462777e-01
  0  30 9.871547e-01
  0  32 8.891280e-01
  0  34 8.154100e-01
  0  36 8.302817e-01
  0  38 7.842633e-01
  0  40 7.012963e-01
  0  42 7.620917e-01
  0  44 6.597007e-01
  0  46 5.855200e-01
  0  48 6.130050e-01
  0  50 6.062510e-01
  0  52 4.939937e-01
  0  54 5.590420e-01
  0  56 5.759687e-01
  0  58 4.600707e-01
  0  60 4.605900e-01
  0  62 4.689907e-01
  0  64 4.603470e-01
  0  66 4.061770e-01
  0  68 4.266420e-01
  0  70 4.176947e-01
  0  72 3.689177e-01
  0  74 3.782347e-01
  0  76 3.843057e-01
  0  78 3.629733e-01
  0  80 3.302393e-01
  0  82 3.452327e-01
  0  84 3.391140e-01
  0  86 3.094300e-01
  0  88 3.167747e-01
  0  90 3.239547e-01
  0  92 2.897033e-01
  0  94 2.732433e-01
  0  96 3.564777e-01
  0  98 2.569773e-01
  0 100 3.521257e-01
  1   1 1.434438e+02
  1   3 8.245140e+00
  1   5 3.150647e+00
  1   7 2.430657e+00
  1   9 1.922243e+00
  1  11 1.717807e+00
  1  13 1.640400e+00
  1  15 1.354367e+00
  1  17 1.281693e+00
  1  19 1.347300e+00
  1  21 1.165957e+00
  1  23 1.051634e+00
  1  25 1.098263e+00
  1  27 1.026149e+00
  1  29 1.022648e+00
  1  31 9.587243e-01
  1  33 8.719120e-01
  1  35 8.588560e-01
  1  37 8.207700e-01
  1  39 7.446970e-01
  1  41 7.424047e-01
  1  43 7.428380e-01
  1  45 6.568910e-01
  1  47 6.054913e-01
  1  49 6.378957e-01
  1  51 5.902643e-01
  1  53 5.301750e-01
  1  55 5.618323e-01
  1  57 5.460690e-01
  1  59 4.829217e-01
  1  61 4.544287e-01
  1  63 4.590243e-01
  1  65 4.608620e-01
  1  67 4.476263e-01
  1  69 4.334647e-01
  1  71 4.117530e-01
  1  73 3.877407e-01
  1  75 3.890257e-01
  1  77 3.720600e-01
  1  79 3.609463e-01
  1  81 3.382583e-01
  1  83 3.530283e-01
  1  85 3.334590e-01
  1  87 3.234707e-01
  1  89 3.368403e-01
  1  91 3.009957e-01
  1  93 2.903370e-01
  1  95 3.534373e-01
  1  97 2.554840e-01
  1  99 3.724560e-01
  2   0 2.265633e+00
  2   2 1.428839e+02
  2   4 7.491157e+00
  2   6 2.890330e+00
  2   8 2.201383e+00
  2  10 1.889597e+00
  2  12 1.645457e+00
